"county_fips","longitude","latitude","population","density","watchers","pageviews","pageviews_offset","revisions","editors","secs_since_last_edit","characters","words","references","unique_references","sections","external_links","links_from_this_page","links_to_this_page","male_under_5","male_5_to_9","male_10_to_14","male_15_to_17","male_18_and_19","male_20","male_21","male_22_to_24","male_25_to_29","male_30_to_34","male_35_to_39","male_40_to_44","male_45_to_49","male_50_to_54","male_55_to_59","male_60_and_61","male_62_to_64","male_65_and_66","male_67_to_69","male_70_to_74","male_75_to_79","male_80_to_84","male_85_and_over","female_under_5","female_5_to_9","female_10_to_14","female_15_to_17","female_18_and_19","female_20","female_21","female_22_to_24","female_25_to_29","female_30_to_34","female_35_to_39","female_40_to_44","female_45_to_49","female_50_to_54","female_55_to_59","female_60_and_61","female_62_to_64","female_65_and_66","female_67_to_69","female_70_to_74","female_75_to_79","female_80_to_84","female_85_and_over","total_white_population","total_black_population","total_native_population","total_asian_population","total_pacific_population","total_other_population","total_two_races_population","latino","latino_white","latino_black","latino_native","latino_asian","latino_pacific","latino_other","latino_two_races","total","no_schooling_completed","nursery_school","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12_no_diploma","hs_diploma","ged","less_than_1_year_college","more_than_1_year_college","associates_degree","bachelors_degree","masters_degree","professional_degree","doctorate_degree","total_with_poverty_status","income_below_poverty","born_in_usa","foreign_born","speak_only_english","speak_other_languages","count_age_under_18","count_age_18_to_24","count_age_25_to_34","count_age_35_to_44","count_age_45_to_54","count_age_55_to_64","count_age_65_to_74","count_age_75_and_older","count_less_than_hs","count_hs_degree","count_some_college","count_college_degree","percent_age_under_18","percent_age_18_to_24","percent_age_25_to_34","percent_age_35_to_44","percent_age_45_to_54","percent_age_55_to_64","percent_age_65_to_74","percent_age_75_and_older","percent_white","percent_black","percent_native","percent_asian","percent_pacific","percent_other","percent_two_races","percent_latino","percent_poverty_status","percent_less_than_hs","percent_hs_degree","percent_some_college","percent_college_degree","percent_speak_only_english","percent_born_in_usa","internet_usage"
1001,-86.607839,32.517742,12163.6666666667,162.333333333333,11.3333333333333,1144.66666666667,30,301,163,1630820.33333333,4019.33333333333,678.666666666667,13.3333333333333,11,9.33333333333333,17.6666666666667,101,119,1672,2021,1973,1302,716,421,472,927,1656,1612,1995,1606,2136,1795,2016,482,686,495,591,974,603,367,381,1466,1848,1947,1280,583,450,155,1046,1886,1668,2106,1769,2003,2039,1947,828,684,571,712,1290,809,586,464,42159,10510,169,516,43,719,920,1467,650,91,0,0,31,676,19,36757,324,0,0,19,0,37,24,3,186,170,326,917,801,1043,671,10226,2137,2572,5321,2804,5316,3058,426,376,14904,1621,53873,1163,49933,1965,13509,4770,6822,7476,7973,6643,4633,3210,4521,12363,7893,11980,24.5457518715023,8.66705429173632,12.3955229304455,13.5838360345955,14.486881314049,12.0702812704412,8.41812631731957,5.8325459699106,76.6025873973399,19.0965913220438,0.307071734864452,0.937568137219275,0.0781306781016062,1.30641761755942,1.67163311287158,2.66552801802457,10.8762748255502,12.2996980167043,33.6344097722883,21.4734608373915,32.5924313736159,96.2137269258931,97.8868377062286,76.6
1003,-87.7467105723077,30.5153201792308,13387.0769230769,251.923076923077,2.53846153846154,3500.69230769231,30,307.076923076923,159.538461538462,1116871.76923077,5861.07692307692,980,22.3846153846154,17,11.0769230769231,28,124,162.230769230769,6002,6137,6694,4295,2461,890,933,3509,5706,5648,6124,6253,6284,7171,6639,2607,4133,2731,3636,4716,3380,2087,1491,5504,6368,6291,3708,2172,1185,1122,3067,5669,5726,6265,6725,6811,7375,7107,2980,5112,2686,3959,5584,3379,2657,2381,175961,19414,1668,1405,0,1591,3321,9029,7010,176,140,10,0,1273,420,143022,1131,13,51,0,0,115,102,138,439,418,1266,2074,3331,2789,2130,32709,7062,9207,22319,13760,29237,10714,2885,1132,50029,4090,196754,6606,181353,10501,44999,15339,22749,25367,27641,28578,23312,15375,13997,39771,31526,57728,22.1277537372148,7.54278127458694,11.1865656963021,12.4739378442172,13.5921518489378,14.0529110936271,11.4634146341463,7.56048387096774,86.5268489378442,9.54661683713611,0.820220298977183,0.690892997639654,0,0.7823564122738,1.63306451612903,4.43990952006294,8.17525835015691,9.78660625638014,27.8076100180392,22.0427626518997,40.363021073681,94.5265670770482,96.7515735641227,74.5
1005,-85.452585,31.784280756,2725.8,74.6,0,1651.2,30,245.8,125.4,1679605.2,6197.2,1049,28.4,20.6,9.6,23,101.8,132,727,729,848,498,269,275,181,559,1184,1139,1038,916,1024,919,893,332,464,332,335,624,323,251,116,709,731,830,442,248,131,157,433,733,705,650,591,704,884,904,303,480,303,528,659,453,343,304,12200,12588,54,165,0,978,216,1104,215,60,8,13,0,802,6,18434,342,13,17,7,30,117,52,56,178,229,531,744,1003,1005,636,5103,1446,1244,2110,1353,1403,656,90,69,6041,1239,25504,697,23360,1405,5514,2253,3761,3195,3531,3376,2781,1790,4960,6549,3354,3571,21.0449982825083,8.59890843860921,14.3544139536659,12.1941910614099,13.4765848631732,12.8850043891455,10.614098698523,6.83180031296515,46.56310827831,48.043967787489,0.206099003854815,0.629746956223045,0,3.73268195870387,0.824396015419259,4.2135796343651,20.5098493626883,26.9068026472822,35.5267440598893,18.1946403385049,19.3718129543235,94.3266707046235,97.3397961909851,57.2
1007,-87.141743,33.052955,3365.25,127.25,0,873.25,30,171.25,101.25,1630917.5,4250.5,727.75,15.25,12.75,8.25,25.25,98.25,131.75,735,673,678,546,419,160,71,434,1003,1065,795,894,890,964,748,209,479,184,306,508,245,143,102,544,565,642,345,155,330,106,318,624,560,555,716,865,682,725,272,411,203,444,314,405,335,213,17323,4979,82,0,0,8,188,531,474,20,0,0,0,8,29,15859,196,0,0,0,18,27,4,10,159,180,293,520,585,705,136,5581,1377,773,2367,831,1289,617,92,99,5302,629,22349,231,20843,458,4728,1993,3252,2960,3401,2844,1959,1443,2833,6958,3140,2928,20.9388839681134,8.82639503985828,14.4021257750221,13.1089459698849,15.0620017714792,12.5952170062002,8.67581930912312,6.39061116031887,76.718334809566,22.0504871567759,0.363153232949513,0,0,0.0354295837023915,0.8325952170062,2.35163861824624,11.8634477555639,17.8636736238098,43.874140866385,19.7994829434391,18.4627025663661,97.8498662034646,98.9769707705934,62
1009,-86.56796101,33.9512799290909,1245.27272727273,107.909090909091,0,305.727272727273,30,122.636363636364,77,1626793.45454545,3372.36363636364,577.818181818182,10.0909090909091,7.63636363636364,5.90909090909091,13.8181818181818,78.5454545454545,65.6363636363636,1794,1673,2161,1241,799,185,310,1167,1656,1711,1625,2006,1996,2066,1927,680,1063,647,920,1233,773,478,379,1702,1963,1873,1158,603,442,274,847,1643,1690,1458,2042,2138,1969,1948,779,1070,1123,829,1286,1028,819,493,55045,915,212,84,0,425,986,5197,4664,36,19,0,0,299,179,39475,699,0,2,0,50,30,116,164,704,230,898,1118,1759,1303,907,10553,2187,3162,5469,4952,3416,1378,216,162,15309,1694,55046,2621,49978,4193,13565,4627,6700,7131,8169,7467,6038,3970,7980,12740,8631,10124,23.5229854162693,8.02365304246796,11.618429951272,12.365824475003,14.1658140704389,12.9484800665892,10.4704597083254,6.88435326963428,95.4532054728007,1.58669603065878,0.367627932786516,0.145663897896544,0,0.736989959595609,1.70981670626181,9.01208663533737,11.0653863740283,20.2153261557948,32.273590880304,21.8644711842939,25.6466117796073,92.2596961473851,95.4549395668233,65.8
1011,-85.61650789,32.107202,2599.5,130,0,923,30,142,89,1627129.5,3829.5,650,13,11,11.5,18.5,89.5,99.5,249,328,273,189,145,85,117,163,474,256,656,288,500,440,316,182,284,119,118,276,86,57,15,362,331,251,183,104,0,126,195,281,166,236,427,291,323,352,168,147,157,204,137,158,134,129,2299,7925,110,73,0,2,69,35,35,0,0,0,0,0,0,7377,75,0,0,0,0,13,0,28,5,118,92,139,321,671,651,2336,363,198,1059,318,485,334,115,56,2424,721,10286,192,9588,279,2166,935,1177,1607,1554,1449,1011,579,2113,2699,1257,1308,20.6718839473182,8.92345867531972,11.233059744226,15.3368963542661,14.8310746325635,13.8289749952281,9.64878793662913,5.52586371444932,21.9412101546097,75.6346631036457,1.04981866768467,0.696697843099828,0,0.0190876121397213,0.658522618820386,0.334033212445123,29.7442244224422,28.6430798427545,36.5866883557001,17.0394469296462,17.7307848718991,97.1723928245667,98.1675892345868,49.4
1013,-86.69935225,31.684965,1946.25,73.425,0,861.25,30,154.25,86.25,4765759.25,3434.25,578.25,12.75,11,8.25,18.5,70.25,85.5,602,643,730,422,224,83,137,351,574,548,445,698,525,579,577,337,415,190,292,474,195,199,176,582,619,582,390,255,150,101,297,642,658,687,620,639,739,876,312,356,232,333,512,457,333,338,10547,9030,13,224,0,14,298,64,32,32,0,0,0,0,0,13958,285,0,0,10,3,62,31,24,119,114,256,387,350,615,389,4862,775,541,1783,1099,1342,667,132,112,4565,879,19915,211,18660,282,4570,1598,2422,2450,2482,2873,2033,1698,2645,5637,2324,3352,22.7069462386962,7.93997813773229,12.0341846367882,12.1733081586008,12.3323064692438,14.2750670774123,10.1013614230349,8.4368478584915,52.4048494484746,44.8673357845573,0.0645930636986982,1.11298817450065,0,0.0695617609062904,1.48067176786247,0.317996621285899,19.2552026286966,18.9497062616421,40.3854420404069,16.6499498495486,24.0149018484023,98.5112448527083,98.9516048891981,58.2
1015,-85.8147976666667,33.7636395,16039.5,251.166666666667,7.66666666666667,1653.66666666667,30,358,204,1116674.5,7752,1269,19,15.6666666666667,11.6666666666667,33.1666666666667,129.333333333333,288.5,3225,3583,3757,2417,1570,1110,1000,1910,3846,3418,3357,3361,3548,3906,3362,1852,2293,1288,1657,2249,1361,911,612,3331,3412,3452,2253,1571,538,756,2667,4071,3603,4057,3208,3775,3970,4378,1619,2346,1453,2133,2490,1961,1462,1428,86136,23735,413,1149,7,1456,2631,4121,2130,182,200,0,0,1408,201,78975,942,19,13,0,21,99,134,185,502,735,1295,2122,3017,2729,1441,20453,4987,5880,14458,5830,8092,4284,997,740,30704,4580,112506,3021,104465,4506,25430,11122,14938,13983,15199,15850,11270,7735,13254,25440,20338,19943,22.0121703151644,9.62718671825634,12.9303106633081,12.1036640785271,13.156231876531,13.7197365118111,9.75529529893445,6.69540453746743,74.5591939546599,20.5449808269928,0.357492187973374,0.994572697291542,0.00605918962666736,1.26031144234681,2.27738970110883,3.56713149307088,14.9166232412715,16.7825261158595,32.2127255460589,25.7524533080089,25.2522950300728,95.8649548962568,97.385026876834,71
1017,-85.3349356666667,32.8518082966667,4968.33333333333,151.666666666667,0,575,30,167.333333333333,94.3333333333333,1463302.33333333,3332.5,559.833333333333,12.6666666666667,10,6.66666666666667,16.5,98.3333333333333,144.666666666667,1019,883,1172,642,326,174,252,749,1050,909,843,1039,1138,1210,1294,390,594,393,623,666,486,260,208,1036,851,1039,614,319,197,172,752,1025,953,1028,985,1134,1248,1341,518,699,469,646,913,564,461,611,19552,13335,95,339,0,240,334,730,507,0,0,0,0,223,0,23698,437,0,0,43,0,71,41,74,154,188,428,812,1026,808,455,7346,1763,1374,3735,1785,2131,713,273,41,8690,1217,33454,441,31390,450,7256,2941,3937,3895,4730,4836,3710,2590,4537,9109,5109,4943,21.407287210503,8.67679598760879,11.6152824900428,11.4913704086148,13.9548605989084,14.2675910901313,10.9455671928013,7.64124502138958,57.6840241923587,39.3420858533707,0.280277327039386,1.00014751438265,0,0.708069036731081,0.985396076117421,2.15370998672371,14.0046029919448,19.1450755338003,38.4378428559372,21.558781331758,20.8583002785045,98.5866834170854,98.6989231450066,62.8
1019,-85.6096616666667,34.215927,1885.33333333333,137.666666666667,0,496.666666666667,30,170.666666666667,102.333333333333,1628562.33333333,3173.33333333333,540.666666666667,13,11.3333333333333,8.33333333333333,20.6666666666667,89.6666666666667,91.6666666666667,627,593,889,507,305,117,237,343,679,541,743,765,908,1032,982,417,653,381,691,545,604,198,105,543,853,659,537,233,139,70,406,673,636,730,736,844,986,1029,423,598,456,493,787,518,316,328,24072,1287,125,50,0,51,270,409,341,0,0,17,0,51,0,18797,312,0,0,15,0,11,12,110,225,247,394,668,751,805,300,5942,1237,1203,2719,1502,1237,710,280,117,7566,967,25682,173,24429,256,5208,1850,2529,2974,3770,4102,3353,2069,3850,7179,3922,3846,20.1431057822471,7.15528911235738,9.78147360278476,11.502610713595,14.581318893831,15.8654032102108,12.9684780506672,8.00232063430671,93.1038483852253,4.97776058789402,0.483465480564688,0.193386192225875,0,0.197253916070393,1.04428543801973,1.58189905240766,12.7808617499339,20.4819918072033,38.1922647230941,20.8650316539873,20.4607118157153,98.962932955236,99.3308837748985,67.5
